Name,V1,V2,E1,E2,EAlphaHat,D1,D2,AddedNodes,EdgesPerAddedNode,AddedEdges,RemovedEdges,WAcc,NodeCorrectness,Time,Generated,Alignment,Corrects,Mistakes,FP,FN,FBetaHash,NodeCorrectness,Time,Generated,Alignment,Corrects,Mistakes,FP,FN,SameAlignment?,DeltaGenerated,DeltaTime,%generated,%time
ER-12-14-1595193788197,12,14,14,20,16.0,0.21212121212121213,0.21978021978021978,2,2,4,2,0.9258241758241759,0.16666666666666666,3865,16311013,4 3 11 8 12 10 7 13 9 6 2 5 ,61.0,5.0,1.0,4.0,0.9107198550050901,0.16666666666666666,3942,16164811,4 3 11 8 12 10 7 13 9 6 2 5 ,61.0,5.0,1.0,4.0,True,146202,-77,0,-1
ER-12-14-1595193788197,12,14,14,20,16.0,0.21212121212121213,0.21978021978021978,2,2,5,3,0.945054945054945,0.16666666666666666,2425,9636526,9 7 1 8 11 6 2 14 4 3 10 12 ,63.0,3.0,1.0,2.0,0.9225436489249459,0.16666666666666666,2500,9718402,9 7 1 8 11 6 2 14 4 3 10 12 ,63.0,3.0,1.0,2.0,True,-81876,-75,0,-3
ER-12-15-1595193788198,12,14,15,21,17.0,0.22727272727272727,0.23076923076923078,2,2,3,1,0.9372549019607843,1.0,1363,5788869,1 2 3 4 5 6 7 8 9 10 11 12 ,62.0,4.0,1.0,3.0,0.9216889209671598,1.0,1393,5778526,1 2 3 4 5 6 7 8 9 10 11 12 ,62.0,4.0,1.0,3.0,True,10343,-30,0,-2
ER-12-15-1595193788198,12,14,15,21,17.0,0.22727272727272727,0.23076923076923078,2,2,4,2,0.9137254901960785,0.25,3957,16156751,1 14 3 6 11 13 7 10 4 2 5 9 ,62.0,4.0,2.0,2.0,0.8666666666666668,0.25,3783,15484468,1 14 3 6 11 13 7 10 4 2 5 9 ,62.0,4.0,2.0,2.0,True,672283,174,4,4
ER-12-15-1595193788198,12,14,15,21,17.0,0.22727272727272727,0.23076923076923078,2,2,5,3,0.9274509803921569,0.08333333333333333,2073,8790926,1 5 12 7 10 14 4 6 11 13 9 3 ,61.0,5.0,1.0,4.0,0.9159749974382622,0.08333333333333333,1775,7456599,1 5 12 7 10 14 4 6 11 13 9 3 ,61.0,5.0,1.0,4.0,True,1334327,298,15,14
ER-12-16-1595193788198,12,14,16,22,18.0,0.24242424242424243,0.24175824175824176,2,2,3,1,0.93875,1.0,14906,59899142,1 2 3 4 5 6 7 8 9 10 11 12 ,62.0,4.0,1.0,3.0,0.9261311121257002,1.0,14892,61840644,1 2 3 4 5 6 7 8 9 10 11 12 ,62.0,4.0,1.0,3.0,True,-1941502,14,-3,0
ER-12-16-1595193788198,12,14,16,22,18.0,0.24242424242424243,0.24175824175824176,2,2,4,2,0.93875,0.0,19281,84868454,11 12 7 5 4 8 3 6 10 9 1 2 ,62.0,4.0,1.0,3.0,0.9261311121257002,0.0,18692,79428276,11 12 7 5 4 8 3 6 10 9 1 2 ,62.0,4.0,1.0,3.0,True,5440178,589,6,3
ER-12-16-1595193788198,12,14,16,22,18.0,0.24242424242424243,0.24175824175824176,2,2,5,3,0.9075,0.0,18196,78719145,11 12 13 10 7 5 14 9 8 3 2 6 ,61.0,5.0,2.0,3.0,0.8696621534566109,0.0,19255,80429510,11 12 13 10 7 5 14 9 8 3 2 6 ,61.0,5.0,2.0,3.0,True,-1710365,-1059,-2,-5
ER-12-17-1595193788199,12,14,17,23,19.0,0.25757575757575757,0.25274725274725274,2,2,3,1,0.9693877551020409,0.6666666666666666,52041,206989662,1 2 3 5 4 6 14 8 9 10 13 12 ,63.0,3.0,0.0,3.0,0.9823451212658337,0.6666666666666666,74589,284534232,1 2 3 5 4 6 14 8 9 10 13 12 ,63.0,3.0,0.0,3.0,True,-77544570,-22548,-37,-43
ER-12-17-1595193788199,12,14,17,23,19.0,0.25757575757575757,0.25274725274725274,2,2,4,2,0.9399759903961584,1.0,80020,301063781,1 2 3 4 5 6 7 8 9 10 11 12 ,62.0,4.0,1.0,3.0,0.9300333226425453,1.0,118809,447579949,1 2 3 4 5 6 7 8 9 10 11 12 ,62.0,4.0,1.0,3.0,True,-146516168,-38789,-48,-48
